id,identifier,latitude,longitude,address,max_recorded_devices,spot_id,min_recorded_devices,internal_notes
103,tue-alb27,48.5280297849121,9.07597072716271,"Tübingen, Alberstr. 27",6,,6,
104,tue-am10,48.5378190718689,9.0361100435257,"Tübingen, Auf der Morgenstelle 10",571,14,19,
105,tue-am12,48.5379700281673,9.03666257858276,"Tübingen, Auf der Morgenstelle 12",63,,23,
106,tue-am14,48.5375313656772,9.03710782527924,"Tübingen, Auf der Morgenstelle 14",583,,1,
107,tue-am15,48.53763259582,9.03831750154495,"Tübingen, Auf der Morgenstelle 15",207,,3,
108,tue-am16,48.5369517571608,9.03601884841919,"Tübingen, Auf der Morgenstelle 16",2095,13,1,
109,tue-am18,48.5365196215048,9.03544308542223,"Tübingen, Auf der Morgenstelle 18",307,,12,
110,tue-am24,48.5360253214003,9.03578281402588,"Tübingen, Auf der Morgenstelle 24",238,,12,
111,tue-am26,48.5353983108217,9.03597239253941,"Tübingen, Auf der Morgenstelle 26",2022,,0,
112,tue-am28,48.5362105957463,9.03639612794905,"Tübingen, Auf der Morgenstelle 28",448,,40,
113,tue-am3,48.5387958399503,9.034184217453,"Tübingen, Auf der Morgenstelle 3",10,,9,
114,tue-am32,48.5366984293549,9.03766926528988,"Tübingen, Auf der Morgenstelle 32",279,,5,
115,tue-am34,48.5362234865218,9.03796259328866,"Tübingen, Auf der Morgenstelle 34",,,,part of bio complex over there
116,tue-am6,48.5377356017224,9.03542071580887,"Tübingen, Auf der Morgenstelle 6",128,,0,
117,tue-br21,48.5243152581421,9.06248458015398,"Tübingen, Brunnenstr. 21",243,5,0,
118,tue-br25,48.5247841986633,9.06280033004805,"Tübingen, Brunnenstr. 25",1149,5,0,
119,tue-bu11,48.5194150153977,9.05047059059143,"Tübingen, Burgsteige 11",518,19,179,
120,tue-bur1,48.5194629837006,9.05492305755615,"Tübingen, Bursagasse 1",51,,51,"spot_id 9, but router is dead"
121,tue-dob33,48.5209943923116,9.06046181917191,"Tübingen, Doblerstr. 33",53,,0,
122,tue-ea8,48.5318177503886,9.03359681367874,"Tübingen, Elfriede-Aulhorn-Str. 8",339,,0,
123,tue-eu6,48.5174216257585,9.05601471662521,"Tübingen, Europastr. 6",62,,62,
124,tue-ga29,48.5189957349647,9.06366437673569,"Tübingen, Gartenstr. 29",93,,1,
125,tue-gme6,48.5254355707502,9.05942380428314,"Tübingen, Gmelinstr. 6",35,,35,"spot_id 12, but router is dead"
126,tue-ha123,48.5399856956043,9.03547704219818,"Tübingen, Hartmeyerstr. 123",0,,0,
127,tue-hau11,48.5295424259774,9.06191021203995,"Tübingen, Hausserstr. 11",3,,3,
128,tue-hau43,48.5319278727857,9.06420081853867,"Tübingen, Hausserstr. 43",8,,0,
129,tue-hg26,,,,,,,??
130,tue-hoe11,48.5265760025314,9.05939429998398,"Tübingen, Hölderlinstr. 11",89,,0,
131,tue-hoe12,48.5265156064767,9.05987977981567,"Tübingen, Hölderlinstr. 12",241,,5,
132,tue-hoe19,48.5272119330882,9.05994415283203,"Tübingen, Hölderlinstr. 19",46,,0,
133,tue-hoe29,48.5279757497374,9.06059592962265,"Tübingen, Hölderlinstr. 29",17,,17,
134,tue-hoe5,48.5259329584853,9.05834823846817,"Tübingen, Hölderlinstr. 5",1437,,2,
135,tue-kep17,48.5271426206175,9.05935562257582,"Tübingen, Keplerstr. 17",52,,0,
136,tue-kep4,48.5260849805495,9.06292676925659,"Tübingen, Keplerstr. 4",3,,3,
137,tue-koe6,48.5296548624475,9.06824290752411,"Tübingen, Köstlinstr. 6",58,,0,
138,tue-les1,48.5295797272019,9.05235119465942,"Tübingen, Lessingweg 1",20,,0,
139,tue-les3,48.5296061222705,9.05187912579095,"Tübingen, Lessingweg 3",43,,0,
140,tue-li12,48.5255804531918,9.05552076092135,"Tübingen, Liebermeisterstr. 12-14",312,2,0,
141,tue-li6,48.5252647524575,9.05645121970338,"Tübingen, Liebermeisterstr. 6",4,,4,
142,tue-mel30,48.5286946505507,9.06026907575324,"Tübingen, Melanchthonstr. 30",11,,11,
143,tue-mue11,48.5199129597001,9.05496366615807,"Tübingen, Münzgasse 11",13,,13,
144,tue-mue26,48.5197261689527,9.05518135421062,"Tübingen, Münzgasse 22-30",12,,12,
145,tue-mue30,48.5197535996111,9.05562579631805,"Tübingen, Münzgasse 30",13,,13,"spot_id 10, but router is dead"
146,tue-mvl6,48.5389373153312,9.05584187939682,"Tübingen, Maria-von-Linden-Straße 6",,,,AI center
147,tue-na2,48.5255180664011,9.05953870994381,"Tübingen, Nauklerstr. 2/1",20,12,0,
148,tue-na35,48.5282100082276,9.06203777773044,"Tübingen, Nauklerstr. 35",14,,14,
149,tue-na47,48.529306184251,9.06287843567497,"Tübingen, Nauklerstr. 47",132,,0,
150,tue-na48,48.5291782580275,9.06340570428711,"Tübingen, Nauklerstr. 48",25,,3,
151,tue-na5,48.5261169551851,9.06029584390126,"Tübingen, Nauklerstr. 5",23,,0,
152,tue-none,,,,,,,
153,tue-odh7,48.5356181134346,9.08685513126329,"Tübingen, Ob dem Himmelreich 7",58,,0,
154,tue-oe3,48.5211368002795,9.05897163744157,"Tübingen, Österbergstr. 3",238,,3,
155,tue-ru19,,,,,,,??
156,tue-rue19,48.5238487293323,9.05486007991385,"Tübingen, Rümelinstr. 19",71,,1,
157,tue-rue21,48.523994895301,9.05523408714544,"Tübingen, Rümelinstr. 21",0,,0,
158,tue-rue23,48.5242953266144,9.0556693560211,"Tübingen, Rümelinstr. 23",266,22,0,
159,tue-rue27,48.5243907919341,9.05636147260338,"Tübingen, Rümelinstr. 27",13,,0,
160,tue-rue32,48.5242750396076,9.05733323681488,"Tübingen, Rümelinstr. 32",86,,5,
161,tue-sa1,48.5345626039653,9.0703150749141,"Tübingen, Sand 1",249,,3,
162,tue-sa13,48.5345047750429,9.07180488109589,"Tübingen, Sand 13",128,,0,
163,tue-sa14,48.5349452398722,9.07114275085405,"Tübingen, Sand 14",214,20,2,
164,tue-sa6,48.5352781078971,9.06990743275855,"Tübingen, Sand 6",162,,0,
165,tue-sa7,48.5352862422006,9.07051436301117,"Tübingen, Sand 7",27,,0,
166,tue-sa8,48.5354384848045,9.07040401689301,"Tübingen, Sand 8",4,,0,
167,tue-sig17,48.5268417088198,9.05840225815609,"Tübingen, Sigwartstr. 17",22,,0,
168,tue-sig18,48.5267965185996,9.05892416239112,"Tübingen, Sigwartstr. 18",5,,5,
169,tue-sil5,48.524782599791,9.05699678050951,"Tübingen, Silcherstr. 5",52,,6,
170,tue-sla13,,,,,,,?
171,tue-sle4,48.5249242511001,9.05512309666847,"Tübingen, Schleichstr. 4",121,,121,"spot_id 1, but router is dead"
172,tue-sna94,,,,,,,?
173,tue-sul2,48.5204291265373,9.05696834907758,"Tübingen, Schulberg 2",138,,0,
174,tue-wae67,48.5298111362775,9.06873262512818,"Tübingen, Wächterstr. 67",95,,23,
175,tue-wae76,48.5297487191931,9.06969435806786,"Tübingen, Wächterstr. 76",21,,0,
176,tue-was12,,,,,,,?
177,tue-wi106,48.5299491854653,9.07002657651901,"Tübingen, Wilhelmstr. 106",0,,0,
178,tue-wi11,48.525396774308,9.06071743365828,"Tübingen, Wilhelmstr. 11",34,,0,
179,tue-wi124,48.5290848621251,9.07265857412767,"Tübingen, Wilhelmstr. 124",45,,0,
180,tue-wi133,48.5303059588061,9.07402038574219,"Tübingen, Wilhelmstr. 133",231,,65,
181,tue-wi19,48.5266899733038,9.06171060192719,"Tübingen, Wilhelmstr. 19",54,,54,
182,tue-wi26,48.5239649798458,9.05988745097602,"Tübingen, Wilhelmstr. 26",202,,4,
183,tue-wi30,48.5243511776025,9.06057484749908,"Tübingen, Wilhelmstr. 30",579,21,0,
184,tue-wi30.1,,,,,,,dead
185,tue-wi31,48.5277501939686,9.06264776557691,"Tübingen, Wilhelmstr. 31",46,,0,
186,tue-wi32,48.5249155822301,9.06118027563934,"Tübingen, Wilhelmstr. 32/1",1357,5,2,
187,tue-wi36,48.5259580763201,9.06225546578298,"Tübingen, Wilhelmstr. 36",479,7,0,
188,tue-wi5,48.5240796670326,9.05901685952813,"Tübingen, Wilhelmstr. 5",164,,0,
189,tue-wi50,48.5270401259001,9.06330383404111,"Tübingen, Wilhelmstr. 50",2500,6,3,
190,tue-wi56,48.5279069354793,9.063665503013,"Tübingen, Wilhelmstr. 56",40,,3,
191,tue-wi9,48.5249501156124,9.06004913453216,"Tübingen, Wilhelmstr. 9",270,,0,
192,tue-wi90,48.5302130621011,9.06791111794973,"Tübingen, Wilhelmstr. 90",193,,0,
