id,identifier,max_recorded_devices,min_recorded_devices,wifi_access_location_id
1,tue-alb27-flur-1142,0,0,103
3,tue-alb27-Halle-1131,0,0,103
4,tue-alb27-KraftFitHalle-1131,0,0,103
5,tue-am10-E1-rP24-1142,0,0,104
6,tue-am10-E1-rP24-1852,1,1,104
7,tue-am10-E2-Flur1-1852,0,0,104
8,tue-am10-E2-Flur3-1852,0,0,104
9,tue-am10-E2-Flur4-1852,0,0,104
10,tue-am10-E2-r2A17-1852,0,0,104
11,tue-am10-E2-r2H33-1852,0,0,104
12,tue-am10-E3-Flur1-1852,0,0,104
13,tue-am10-E3-Flur2-1852,0,0,104
14,tue-am10-E3-Flur3-1852,0,0,104
15,tue-am10-E3-Flur4-1852,0,0,104
16,tue-am10-E3-Flur5-1852,0,0,104
17,tue-am10-E3-r3A35-1-1852,0,0,104
18,tue-am10-E3-r3A35-2-1852,0,0,104
19,tue-am10-E3-r3N35-1852,2,2,104
20,tue-am10-E4-Bibliothek1-1852,0,0,104
21,tue-am10-E4-Bibliothek2-1852,0,0,104
22,tue-am10-E4-Bibliothek3-1852,0,0,104
23,tue-am10-E4-Bibliothek4-1852,0,0,104
24,tue-am10-E4-Bibliothek5-1852,3,3,104
25,tue-am10-E4-Flur1-1852,0,0,104
26,tue-am10-E4-Flur2-1852,1,1,104
27,tue-am10-E4-r4D25-1852,0,0,104
28,tue-am10-E4-r4H33-1852,0,0,104
29,tue-am10-E4-r4H43-1852,0,0,104
30,tue-am10-E5-Flur1-1852,0,0,104
31,tue-am10-E5-Flur2-1852,0,0,104
32,tue-am10-E5-Flur3-1852,0,0,104
33,tue-am10-E5-Flur4-1852,0,0,104
34,tue-am10-E5-Flur5-1852,0,0,104
35,tue-am10-E5-Flur6-1852,0,0,104
36,tue-am10-E5-r5H05-1852,0,0,104
37,tue-am10-E5-r5H10-1852,0,0,104
38,tue-am10-E5-r5H41-1852,0,0,104
39,tue-am10-E6-6H05-1852,1,1,104
40,tue-am10-E6-Flur1-1852,0,0,104
41,tue-am10-E6-Flur2-1852,0,0,104
42,tue-am10-E6-Flur3-1852,0,0,104
43,tue-am10-E6-Flur4-1852,1,1,104
44,tue-am10-E6-Flur5-1852,0,0,104
45,tue-am10-E6-Flur6-1852,0,0,104
46,tue-am10-E6-r6H10-1852,0,0,104
47,tue-am10-E6-r6H41-1852,0,0,104
48,tue-am10-E7-Flur1-1852,1,1,104
49,tue-am10-E7-Flur2-1852,0,0,104
50,tue-am10-E7-Flur3-1852,1,1,104
51,tue-am10-E7-Flur4-1852,1,1,104
52,tue-am10-E7-Flur5-1852,0,0,104
53,tue-am10-E7-Flur6-1852,0,0,104
54,tue-am10-E8-Flur1-1852,0,0,104
55,tue-am10-E8-Flur2-1852,0,0,104
56,tue-am10-E8-Flur3-1852,0,0,104
57,tue-am10-E8-Flur4-1852,0,0,104
58,tue-am10-E8-Flur5-1852,0,0,104
59,tue-am10-E8-r8N38-1852,0,0,104
60,tue-am10-E9-Flur1-1852,0,0,104
61,tue-am10-E9-Flur2-1852,0,0,104
62,tue-am10-E9-Flur3-1852,0,0,104
63,tue-am10-E9-Flur4-1852,0,0,104
64,tue-am10-E9-Flur5-1852,0,0,104
65,tue-am10-E9-r9A03-1852,0,0,104
66,tue-am10-E9-r9G09-1852,0,0,104
67,tue-am10-Eb10-vorA23-2702,0,0,104
68,tue-am10-Eb10-vorA38-2702,0,0,104
69,tue-am10-Eb10-vorH08-2702,1,1,104
70,tue-am10-Eb10-vorH13-2702,0,0,104
71,tue-am10-Eb10-vorP25-2702,0,0,104
72,tue-am10-Eb10-vorQ40-2702,0,0,104
73,tue-am12-E1-rAC58-1142,0,0,105
74,tue-am12-E1-rAC58-1852,0,0,105
75,tue-am12-E1-rD40-1852,1,1,105
76,tue-am12-E2-rO18-1142,0,0,105
77,tue-am12-E2-rS30-1852,2,2,105
78,tue-am12-EG-rD40-1142,0,0,105
79,tue-am14-E2-Flur1-1852,0,0,106
80,tue-am14-E2-Flur2-1852,0,0,106
81,tue-am14-E2-Flur3-1852,0,0,106
82,tue-am14-E2-r2A32-1852,0,0,106
83,tue-am14-E2-rA02-1852,0,0,106
84,tue-am14-E2-rA20-1852,1,1,106
85,tue-am14-E3-Eingangshalle-1852,0,0,106
86,tue-am14-E3-Flur1-1852,0,0,106
87,tue-am14-E3-Flur3-1852,0,0,106
88,tue-am14-E3-r3A07-1852,0,0,106
89,tue-am14-E3-r3A19-1852,1,1,106
90,tue-am14-E3-r3A32-1852,0,0,106
91,tue-am14-E4-Flur1-1852,0,0,106
92,tue-am14-E4-Flur2-1852,0,0,106
93,tue-am14-E4-Flur3-1852,0,0,106
94,tue-am14-E4-Flur4-1852,0,0,106
95,tue-am14-E4-Flur5-1852,0,0,106
96,tue-am14-E4-r4A19-1852,0,0,106
97,tue-am14-E5-Flur2-1852,0,0,106
98,tue-am14-E5-Flur3-1852,0,0,106
99,tue-am14-E5-Flur4-1852,0,0,106
100,tue-am14-E5-Flur5-1852,1,1,106
101,tue-am14-E5-r5A40-1852,0,0,106
102,tue-am14-E6-Flur2-1852,1,1,106
